Facies;Formation;Well Name;Depth;GR;ILD_log10;DeltaPHI;PHIND;PE;NM_M;RELPOS
2;A1 SH;NOLAN;2853.5;106.813;0.533;9.339;15.222;3.5;1;1
3;A1 SH;NOLAN;2854;100.938;0.542;8.857;15.313;3.416;1;0.977
3;A1 SH;NOLAN;2854.5;94.375;0.553;7.097;14.583;3.195;1;0.955
3;A1 SH;NOLAN;2855;89.813;0.554;7.081;14.11;2.963;1;0.932
3;A1 SH;NOLAN;2855.5;91.563;0.56;6.733;13.189;2.979;1;0.909
3;A1 SH;NOLAN;2856;87.188;0.567;6.578;12.806;3.16;1;0.886
3;A1 SH;NOLAN;2856.5;84.188;0.569;5.569;12.253;3.223;1;0.864
3;A1 SH;NOLAN;2857;84.625;0.567;4.861;12.229;3.361;1;0.841
3;A1 SH;NOLAN;2857.5;90.313;0.581;5.634;13.458;3.395;1;0.818
3;A1 SH;NOLAN;2858;91.563;0.578;6.443;17.922;3.076;1;0.795
3;A1 SH;NOLAN;2858.5;85.625;0.56;6.897;19.177;3.135;1;0.773
3;A1 SH;NOLAN;2859;74.188;0.533;4.634;17.827;3.002;1;0.75
3;A1 SH;NOLAN;2859.5;65.875;0.499;3.571;13.226;3.16;1;0.727
3;A1 SH;NOLAN;2860;63.625;0.467;2.563;13.013;2.773;1;0.705
3;A1 SH;NOLAN;2860.5;65.375;0.46;3.922;13.46;2.541;1;0.682
2;A1 SH;NOLAN;2861;65.813;0.453;3.145;14.97;2.512;1;0.659
2;A1 SH;NOLAN;2861.5;64.5;0.441;3.31;15.245;2.666;1;0.636
2;A1 SH;NOLAN;2862;65.313;0.426;2.439;14.602;2.807;1;0.614
2;A1 SH;NOLAN;2862.5;67.063;0.415;2.877;14.017;2.941;1;0.591
2;A1 SH;NOLAN;2863;70.25;0.401;2.333;13.585;2.981;1;0.568
2;A1 SH;NOLAN;2863.5;72.125;0.383;1.926;13.406;3.078;1;0.545
2;A1 SH;NOLAN;2864;79.563;0.357;2.152;14.205;3.17;1;0.523
2;A1 SH;NOLAN;2864.5;80.563;0.332;3.078;16.844;3.107;1;0.5
2;A1 SH;NOLAN;2865;75.813;0.31;5.733;18.242;3.012;1;0.477
2;A1 SH;NOLAN;2865.5;65.625;0.295;6.937;19.674;3.014;1;0.455
2;A1 SH;NOLAN;2866;57.25;0.293;7.76;19.584;2.971;1;0.432
2;A1 SH;NOLAN;2866.5;59.625;0.292;6.294;19.487;2.947;1;0.409
2;A1 SH;NOLAN;2867;62;0.293;5.391;18.584;2.787;1;0.386
2;A1 SH;NOLAN;2867.5;68.438;0.307;4.007;17.428;2.807;1;0.364
2;A1 SH;NOLAN;2868;71.063;0.333;3.218;16.411;2.838;1;0.341
2;A1 SH;NOLAN;2868.5;71.188;0.371;2.909;14.962;2.844;1;0.318
2;A1 SH;NOLAN;2869;70.938;0.419;2.838;13.177;2.76;1;0.295
2;A1 SH;NOLAN;2869.5;66.813;0.463;2.855;12.282;2.58;1;0.273
2;A1 SH;NOLAN;2870;69.875;0.493;2.702;11.556;2.703;1;0.25
2;A1 SH;NOLAN;2870.5;73.188;0.5;3.026;11.769;2.795;1;0.227
2;A1 SH;NOLAN;2871;81;0.486;3.352;12.322;2.938;1;0.205
2;A1 SH;NOLAN;2871.5;82.188;0.457;3.945;13.144;2.691;1;0.182
2;A1 SH;NOLAN;2872;82.063;0.421;5.444;15.21;2.654;1;0.159
2;A1 SH;NOLAN;2872.5;77.375;0.38;6.592;16.358;2.75;1;0.136
3;A1 SH;NOLAN;2873;74.75;0.341;6.672;16.326;2.891;1;0.114
5;A1 SH;NOLAN;2873.5;73.688;0.31;6.614;17.409;2.922;1;0.091
5;A1 SH;NOLAN;2874;76.25;0.295;7.123;19.977;2.981;1;0.068
2;A1 SH;NOLAN;2874.5;73.938;0.301;10.693;21.143;3.065;1;0.045
3;A1 SH;NOLAN;2875;75.5;0.323;8.346;20.17;3.133;1;0.023
5;A1 LM;NOLAN;2875.5;77.938;0.35;5.703;16.27;3.32;2;1
5;A1 LM;NOLAN;2876;85.75;0.384;1.07;13.579;3.662;2;0.983
5;A1 LM;NOLAN;2876.5;81.875;0.438;0.969;9.822;4.394;2;0.966
8;A1 LM;NOLAN;2877;75.125;0.518;1.062;7.629;4.562;2;0.948
8;A1 LM;NOLAN;2877.5;73.375;0.614;0.67;6.898;4.894;2;0.931
8;A1 LM;NOLAN;2878;79.938;0.696;0.442;6.442;5.121;2;0.914
8;A1 LM;NOLAN;2878.5;89.5;0.749;0.54;6.54;5.098;2;0.897
6;A1 LM;NOLAN;2879;85.813;0.767;1.25;6.905;5.008;2;0.879
6;A1 LM;NOLAN;2879.5;75.563;0.751;2.104;7.075;4.695;2;0.862
5;A1 LM;NOLAN;2880;60.156;0.724;2.47;8.125;4.359;2;0.845
